total_daily_units,month,monthly_units,monthly_bill
7.06,8,211.8,1092.18
8.03,4,240.9,1313.34
9.51,12,285.3,1664.9
1.95,5,58.5,288.95
2.33,7,69.9,331.13
7.98,12,239.4,1301.94
9.61,11,288.3,1688.9
3.99,6,119.7,537.06
4.61,8,138.3,626.34
4.79,10,143.7,652.26
10.02,7,300.6,1787.6
4.29,1,128.7,580.26
1.95,9,58.5,288.95
4.04,2,121.2,544.26
12.37,2,371.1,2386.85
11.86,1,355.8,2256.8
1.71,6,51.3,262.31
8.4,8,252,1398.5
11.04,3,331.2,2047.7
13.22,10,396.6,2603.6
4.08,7,122.4,550.02
4,11,120,538.5
5.99,12,179.7,872.58
4.73,2,141.9,643.62
7.13,12,213.9,1108.14
12.85,4,385.5,2509.25
1.14,6,34.2,207.73
1.16,12,34.8,209.62
3.85,11,115.5,516.9
11.35,8,340.5,2126.75
8.63,10,258.9,1453.7
4.74,11,142.2,645.06
10.17,5,305.1,1825.85
14.82,3,444.6,3011.6
1.41,6,42.3,233.24
6.44,1,193.2,958.98
6.24,11,187.2,920.58
1.62,3,48.6,253.09
4.11,9,123.3,554.34
15.43,4,462.9,3167.15
4.04,6,121.2,544.26
10.79,9,323.7,1983.95
8.62,10,258.6,1451.3
0.93,7,27.9,187.88
4.08,10,122.4,550.02
15.32,4,459.6,3139.1
9.08,12,272.4,1561.7
11.27,8,338.1,2106.35
15.8,4,474,3261.5
9.48,10,284.4,1657.7
6.77,10,203.1,1026.06
8.6,8,258,1446.5
1.96,9,58.8,290.06
3.37,2,101.1,447.78
17.3,3,519,3644
10.3,8,309,1859
4.21,4,126.3,568.74
10.83,8,324.9,1994.15
5.18,12,155.4,717.06
8.7,6,261,1470.5
4.61,3,138.3,626.34
12.72,3,381.6,2476.1
3.74,11,112.2,501.06
10.61,7,318.3,1938.05
9.14,9,274.2,1576.1
9.79,2,293.7,1732.1
4.78,6,143.4,650.82
10.53,8,315.9,1917.65
9.51,8,285.3,1664.9
2.06,3,61.8,301.16
5.18,1,155.4,717.06
9.79,6,293.7,1732.1
12.76,10,382.8,2486.3
9.09,10,272.7,1564.1
3.42,3,102.6,454.98
6.21,7,186.3,914.82
4.67,8,140.1,634.98
6.9,9,207,1055.7
7.78,9,233.4,1256.34
2.45,8,73.5,344.45
1.72,12,51.6,263.42
7.7,12,231,1238.1
4.33,4,129.9,586.02
7.36,6,220.8,1160.58
7.41,10,222.3,1171.98
10.46,11,313.8,1899.8
5.46,6,163.8,770.82
9.68,11,290.4,1705.7
3.74,3,112.2,501.06
4.99,1,149.7,681.06
11.33,12,339.9,2121.65
10.36,12,310.8,1874.3
2.65,4,79.5,366.65
6.07,1,182.1,887.94
12.72,10,381.6,2476.1
11.05,6,331.5,2050.25
6.31,11,189.3,934.02
6.56,6,196.8,982.02
7.06,12,211.8,1092.18
2.9,7,87,394.4
1.52,9,45.6,243.64
7.36,10,220.8,1160.58
8.82,9,264.6,1499.3
9.52,1,285.6,1667.3
7.85,8,235.5,1272.3
5.2,12,156,720.9
8.72,3,261.6,1475.3
7.6,2,228,1215.3
10.46,8,313.8,1899.8
3.75,11,112.5,502.5
10.41,6,312.3,1887.05
5.93,9,177.9,861.06
14.24,4,427.2,2863.7
3.46,8,103.8,460.74
3.53,10,105.9,470.82
7.17,12,215.1,1117.26
8.34,6,250.2,1384.1
6.21,1,186.3,914.82
10.08,6,302.4,1802.9
12.33,2,369.9,2376.65
4.04,12,121.2,544.26
5.6,12,168,797.7
11.76,11,352.8,2231.3
5.87,6,176.1,849.54
5.48,10,164.4,774.66
8.42,9,252.6,1403.3
10.3,6,309,1859
3.45,9,103.5,459.3
3.48,12,104.4,463.62
6.88,6,206.4,1051.14
10.39,12,311.7,1881.95
11.67,1,350.1,2208.35
9.23,7,276.9,1597.7
7.03,12,210.9,1085.34
9.06,6,271.8,1556.9
2.38,12,71.4,336.68
11.07,11,332.1,2055.35
5.91,12,177.3,857.22
1.43,2,42.9,235.13
4.46,12,133.8,604.74
5.09,9,152.7,699.78
6.21,6,186.3,914.82
3.88,10,116.4,521.22
10.53,11,315.9,1917.65
4.43,4,132.9,600.42
7.41,11,222.3,1171.98
3.18,10,95.4,425.48
3.26,12,97.8,434.36
7.51,2,225.3,1194.78
5.61,7,168.3,799.62
12.77,8,383.1,2488.85
10.33,8,309.9,1866.65
1.63,9,48.9,254.03
1.19,6,35.7,212.46
10.48,2,314.4,1904.9
3.06,4,91.8,412.16
9.87,5,296.1,1751.3
1.62,9,48.6,253.09
5.69,9,170.7,814.98
5.51,7,165.3,780.42
4.18,12,125.4,564.42
9.24,12,277.2,1600.1
4.07,10,122.1,548.58
3.52,5,105.6,469.38
9.22,3,276.6,1595.3
10.14,11,304.2,1818.2
9.27,9,278.1,1607.3
6,7,180,874.5
9.96,2,298.8,1772.9
8.52,7,255.6,1427.3
3.06,9,91.8,412.16
8.58,1,257.4,1441.7
5.37,12,161.1,753.54
4.14,1,124.2,558.66
12.6,3,378,2445.5
7.98,10,239.4,1301.94
7.57,11,227.1,1208.46
5.22,9,156.6,724.74
6.12,1,183.6,897.54
11.53,11,345.9,2172.65
7.3,10,219,1146.9
4.37,12,131.1,591.78
9.61,6,288.3,1688.9
8.54,2,256.2,1432.1
12.69,2,380.7,2468.45
3.15,2,94.5,422.15
9.56,7,286.8,1676.9
14.01,4,420.3,2805.05
6.4,2,192,951.3
10.19,1,305.7,1830.95
12.55,5,376.5,2432.75
8.31,3,249.3,1377.18
7.49,6,224.7,1190.22
4.02,4,120.6,541.38
8.84,6,265.2,1504.1
9.35,12,280.5,1626.5
11.58,8,347.4,2185.4
11.58,5,347.4,2185.4
8.81,5,264.3,1496.9
3.92,1,117.6,526.98
5.85,2,175.5,845.7
6.81,11,204.3,1035.18
7.42,9,222.6,1174.26
13.98,12,419.4,2797.4
3.12,11,93.6,418.82
8.5,8,255,1422.5
1.3,4,39,222.85
5.17,8,155.1,715.14
9.36,7,280.8,1628.9
10.54,7,316.2,1920.2
8.15,10,244.5,1340.7
9.16,12,274.8,1580.9
9.7,9,291,1710.5
10.31,4,309.3,1861.55
1.04,8,31.2,198.28
10.96,11,328.8,2027.3
6.39,9,191.7,949.38
3.66,11,109.8,489.54
5.48,4,164.4,774.66
1.66,6,49.8,256.87
10.67,7,320.1,1953.35
3.71,11,111.3,496.74
10.56,1,316.8,1925.3
8.26,9,247.8,1365.78
12.11,3,363.3,2320.55
2.09,9,62.7,304.49
9.27,12,278.1,1607.3
8.58,12,257.4,1441.7
1.92,8,57.6,285.62
7.33,2,219.9,1153.74
7.3,1,219,1146.9
8.82,3,264.6,1499.3
12.82,4,384.6,2501.6
10.93,1,327.9,2019.65
5.58,4,167.4,793.86
6.81,11,204.3,1035.18
2.38,6,71.4,336.68
10.88,6,326.4,2006.9
6.85,6,205.5,1044.3
10.49,4,314.7,1907.45
3.87,4,116.1,519.78
5.8,1,174,836.1
6.76,7,202.8,1023.78
10.22,10,306.6,1838.6
11.3,1,339,2114
8.66,4,259.8,1460.9
11.6,12,348,2190.5
10.46,4,313.8,1899.8
11.01,12,330.3,2040.05
8.17,12,245.1,1345.26
5.22,3,156.6,724.74
6.5,4,195,970.5
9.17,2,275.1,1583.3
13.45,1,403.5,2662.25
8.86,1,265.8,1508.9
8.4,1,252,1398.5
10.52,7,315.6,1915.1
2.7,3,81,372.2
2.72,2,81.6,374.42
5.64,9,169.2,805.38
8.38,1,251.4,1393.7
3.59,1,107.7,479.46
2,6,60,294.5
11.92,4,357.6,2272.1
5.96,7,178.8,866.82
3.24,9,97.2,432.14
1.72,10,51.6,263.42
1.62,12,48.6,253.09
8.5,12,255,1422.5
5.43,12,162.9,765.06
12.44,1,373.2,2404.7
10.25,2,307.5,1846.25
11.24,7,337.2,2098.7
5.95,12,178.5,864.9
11.42,10,342.6,2144.6
1.59,6,47.7,250.25
4.7,10,141,639.3
1.27,5,38.1,220.01
5.77,4,173.1,830.34
2.83,1,84.9,386.63
1.55,9,46.5,246.47
3.83,8,114.9,514.02
4.43,3,132.9,600.42
10.37,11,311.1,1876.85
6.08,12,182.4,889.86
1.68,2,50.4,258.98
17.14,3,514.2,3603.2
2.32,1,69.6,330.02
8.31,10,249.3,1377.18
12.87,11,386.1,2514.35
2.86,11,85.8,389.96
5.32,2,159.6,743.94
8.77,11,263.1,1487.3
9.05,4,271.5,1554.5
4.82,8,144.6,656.58
7.37,8,221.1,1162.86
8.16,5,244.8,1342.98
17.29,4,518.7,3641.45
5.82,9,174.6,839.94
13.74,4,412.2,2736.2
16.31,3,489.3,3391.55
5.02,4,150.6,686.34
3.09,8,92.7,415.49
3.82,9,114.6,512.58
2.54,12,76.2,354.44
9.34,9,280.2,1624.1
10.86,4,325.8,2001.8
6.28,1,188.4,928.26
8.63,4,258.9,1453.7
17.45,3,523.5,3682.25
12.82,6,384.6,2501.6
4.06,3,121.8,547.14
6.69,8,200.7,1007.82
1.45,8,43.5,237.03
12.77,6,383.1,2488.85
6.67,10,200.1,1003.26
4.04,3,121.2,544.26
8.82,8,264.6,1499.3
12.6,9,378,2445.5
3.44,4,103.2,457.86
7.36,10,220.8,1160.58
3.46,1,103.8,460.74
4.28,8,128.4,578.82
9.61,8,288.3,1688.9
3.62,9,108.6,483.78
12.99,11,389.7,2544.95
4.08,10,122.4,550.02
2.5,4,75,350
5.35,11,160.5,749.7
3.77,1,113.1,505.38
12.91,5,387.3,2524.55
8.56,8,256.8,1436.9
8.34,1,250.2,1384.1
6.59,1,197.7,987.78
5.91,2,177.3,857.22
5.7,10,171,816.9
7.3,6,219,1146.9
12.81,1,384.3,2499.05
10.21,1,306.3,1836.05
10.03,1,300.9,1790.15
11.67,7,350.1,2208.35
11.23,10,336.9,2096.15
12.5,10,375,2420
3.78,8,113.4,506.82
9.87,10,296.1,1751.3
7.03,11,210.9,1085.34
10.79,10,323.7,1983.95
2.31,1,69.3,328.91
1.96,8,58.8,290.06
4.34,8,130.2,587.46
13.13,5,393.9,2580.65
16.44,3,493.2,3424.7
10.8,4,324,1986.5
10.58,6,317.4,1930.4
9.08,10,272.4,1561.7
10.51,7,315.3,1912.55
8.35,2,250.5,1386.5
9.58,4,287.4,1681.7
1.91,4,57.3,284.51
3.11,5,93.3,417.71
12.57,2,377.1,2437.85
12.16,10,364.8,2333.3
14.79,5,443.7,3003.95
2.23,6,66.9,320.03
12.51,2,375.3,2422.55
6.68,9,200.4,1005.54
4.53,5,135.9,614.82
7.39,2,221.7,1167.42
3.08,8,92.4,414.38
9.25,3,277.5,1602.5
6.4,3,192,951.3
3.78,4,113.4,506.82
3.29,7,98.7,437.69
6.03,3,180.9,880.26
3.9,10,117,524.1
11.18,9,335.4,2083.4
8.75,5,262.5,1482.5
16.87,3,506.1,3534.35
6.28,5,188.4,928.26
4.22,12,126.6,570.18
5.22,10,156.6,724.74
2.87,4,86.1,391.07
9.64,1,289.2,1696.1
7.64,5,229.2,1224.42
2.07,1,62.1,302.27
11.2,7,336,2088.5
3.68,9,110.4,492.42
15.9,3,477,3287
6.95,1,208.5,1067.1
1.45,6,43.5,237.03
1.85,4,55.5,277.85
9.66,6,289.8,1700.9
13.17,12,395.1,2590.85
3.03,4,90.9,408.83
2.19,7,65.7,315.59
8.52,2,255.6,1427.3
2.98,8,89.4,403.28
10.55,8,316.5,1922.75
10.13,4,303.9,1815.65
3.27,4,98.1,435.47
9.3,12,279,1614.5
4.58,8,137.4,622.02
1.13,2,33.9,206.78
12.08,2,362.4,2312.9
8.82,11,264.6,1499.3
11.02,9,330.6,2042.6
8.71,12,261.3,1472.9
11.33,5,339.9,2121.65
1.52,11,45.6,243.64
10.74,12,322.2,1971.2
6.7,1,201,1010.1
4.34,6,130.2,587.46
1.9,6,57,283.4
9.07,9,272.1,1559.3
3.71,4,111.3,496.74
4.05,2,121.5,545.7
6.32,5,189.6,935.94
9.43,6,282.9,1645.7
1.75,11,52.5,266.75
4.62,6,138.6,627.78
6.79,12,203.7,1030.62
3.21,8,96.3,428.81
6.04,3,181.2,882.18
5.17,6,155.1,715.14
12.68,4,380.4,2465.9
13.72,4,411.6,2731.1
5.02,10,150.6,686.34
9.73,6,291.9,1717.7
6.37,8,191.1,945.54
3.48,9,104.4,463.62
11.61,8,348.3,2193.05
2.95,9,88.5,399.95
2.8,9,84,383.3
8.67,10,260.1,1463.3
7.15,11,214.5,1112.7
7.6,8,228,1215.3
16.06,5,481.8,3327.8
5.25,2,157.5,730.5
7.77,6,233.1,1254.06
2.4,3,72,338.9
4.32,10,129.6,584.58
4.94,8,148.2,673.86
12.62,1,378.6,2450.6
8.57,8,257.1,1439.3
10,6,300,1782.5
5.76,7,172.8,828.42
9.62,4,288.6,1691.3
2.15,9,64.5,311.15
6,10,180,874.5
6.27,10,188.1,926.34
2.7,2,81,372.2
3.17,7,95.1,424.37
2.07,11,62.1,302.27
16.51,5,495.3,3442.55
7.8,8,234,1260.9
10.14,7,304.2,1818.2
8.67,12,260.1,1463.3
7.32,8,219.6,1151.46
9.52,12,285.6,1667.3
4.76,6,142.8,647.94
1.19,10,35.7,212.46
2.83,11,84.9,386.63
3.17,3,95.1,424.37
11.22,9,336.6,2093.6
3.3,10,99,438.8
8.59,9,257.7,1444.1
8.97,2,269.1,1535.3
9.68,6,290.4,1705.7
11.47,10,344.1,2157.35
10.1,9,303,1808
10.16,12,304.8,1823.3
9.32,8,279.6,1619.3
5.68,5,170.4,813.06
9.53,2,285.9,1669.7
1.86,2,55.8,278.96
8.39,11,251.7,1396.1
10.98,11,329.4,2032.4
5.92,6,177.6,859.14
8.86,7,265.8,1508.9
5.23,4,156.9,726.66
7.68,1,230.4,1233.54
13.16,5,394.8,2588.3
5.91,6,177.3,857.22
5.28,2,158.4,736.26
11.85,9,355.5,2254.25
9.49,5,284.7,1660.1
7.21,3,216.3,1126.38
9.95,9,298.5,1770.5
7.43,12,222.9,1176.54
10.88,3,326.4,2006.9
13.73,4,411.9,2733.65
11.82,3,354.6,2246.6
3.84,7,115.2,515.46
8.61,1,258.3,1448.9
1.53,3,45.9,244.58
10.67,12,320.1,1953.35
10.07,4,302.1,1800.35
12.69,4,380.7,2468.45
10.18,9,305.4,1828.4
1.87,9,56.1,280.07
13.63,3,408.9,2708.15
2.64,1,79.2,365.54
1.2,7,36,213.4
8.48,6,254.4,1417.7
8.99,3,269.7,1540.1
3.61,11,108.3,482.34
9.07,11,272.1,1559.3
7.94,12,238.2,1292.82
9.08,2,272.4,1561.7
10.1,5,303,1808
12.4,4,372,2394.5
2.7,5,81,372.2
3.8,1,114,509.7
5.91,2,177.3,857.22
8.8,8,264,1494.5
2.43,3,72.9,342.23
14.68,3,440.4,2975.9
7.32,11,219.6,1151.46
4.05,10,121.5,545.7
9.27,10,278.1,1607.3
3.33,2,99.9,442.13
11.63,12,348.9,2198.15
4.76,9,142.8,647.94
9.88,5,296.4,1753.7
9.69,6,290.7,1708.1
7.73,3,231.9,1244.94
1.73,9,51.9,264.53
10.51,8,315.3,1912.55
11.49,6,344.7,2162.45
3.99,2,119.7,537.06
5.22,1,156.6,724.74
4.27,2,128.1,577.38
2.84,12,85.2,387.74
4.21,3,126.3,568.74
8.61,4,258.3,1448.9
9.57,6,287.1,1679.3
10.92,7,327.6,2017.1
6.79,2,203.7,1030.62
9.42,8,282.6,1643.3
3.26,1,97.8,434.36
4.42,11,132.6,598.98
6.48,8,194.4,966.66
2.66,3,79.8,367.76
3.33,2,99.9,442.13
5.47,2,164.1,772.74
4.79,8,143.7,652.26
8.94,11,268.2,1528.1
3.15,6,94.5,422.15
9.17,5,275.1,1583.3
12.03,3,360.9,2300.15
11.29,4,338.7,2111.45
7.23,6,216.9,1130.94
7.27,1,218.1,1140.06
7.41,3,222.3,1171.98
3.86,1,115.8,518.34
13.12,3,393.6,2578.1
15.99,4,479.7,3309.95
5.26,11,157.8,732.42
9.7,6,291,1710.5
1.78,11,53.4,270.08
9.21,1,276.3,1592.9
2.86,11,85.8,389.96
5.69,12,170.7,814.98
1.96,1,58.8,290.06
8.67,10,260.1,1463.3
2.51,7,75.3,351.11
7.79,7,233.7,1258.62
2.37,10,71.1,335.57
8.23,12,246.9,1358.94
4.57,7,137.1,620.58
2.11,1,63.3,306.71
1.97,6,59.1,291.17
3.99,11,119.7,537.06
3.19,2,95.7,426.59
1.74,2,52.2,265.64
9.8,11,294,1734.5
4.96,8,148.8,676.74
8.33,10,249.9,1381.74
1.34,11,40.2,226.63
6.78,12,203.4,1028.34
10.81,2,324.3,1989.05
9.19,6,275.7,1588.1
6.38,11,191.4,947.46
3.85,1,115.5,516.9
4.27,5,128.1,577.38
11.56,4,346.8,2180.3
6.07,2,182.1,887.94
1.02,2,30.6,196.39
11.02,3,330.6,2042.6
5.14,1,154.2,709.38
6.37,12,191.1,945.54
3.45,3,103.5,459.3
6.19,3,185.7,910.98
5.19,6,155.7,718.98
7.35,8,220.5,1158.3
11.36,11,340.8,2129.3
1.58,7,47.4,249.31
10.72,2,321.6,1966.1
6.96,7,208.8,1069.38
9.44,5,283.2,1648.1
1.58,1,47.4,249.31
5,6,150,682.5
2.41,3,72.3,340.01
5.87,4,176.1,849.54
2.54,8,76.2,354.44
7.32,8,219.6,1151.46
4.66,2,139.8,633.54
3.07,10,92.1,413.27
2.52,1,75.6,352.22
8.18,12,245.4,1347.54
6.65,5,199.5,999.3
7.4,12,222,1169.7
3.82,1,114.6,512.58
10.25,2,307.5,1846.25
8.53,9,255.9,1429.7
7.84,3,235.2,1270.02
8.72,10,261.6,1475.3
7.01,12,210.3,1080.78
11.81,9,354.3,2244.05
7.91,11,237.3,1285.98
8.34,11,250.2,1384.1
3.54,7,106.2,472.26
2.1,10,63,305.6
12.2,2,366,2343.5
6.04,12,181.2,882.18
6.88,5,206.4,1051.14
2.34,12,70.2,332.24
1.95,11,58.5,288.95
5.33,10,159.9,745.86
10.87,10,326.1,2004.35
3.15,12,94.5,422.15
13.79,3,413.7,2748.95
1.76,6,52.8,267.86
15.45,4,463.5,3172.25
4.75,9,142.5,646.5
4.57,3,137.1,620.58
9.61,6,288.3,1688.9
9.18,4,275.4,1585.7
8.52,11,255.6,1427.3
6.18,8,185.4,909.06
7.07,12,212.1,1094.46
7.63,8,228.9,1222.14
2.23,3,66.9,320.03
7.87,12,236.1,1276.86
6.77,11,203.1,1026.06
7.7,9,231,1238.1
2.63,11,78.9,364.43
11.65,7,349.5,2203.25
3.98,1,119.4,535.62
7.09,9,212.7,1099.02
14.86,5,445.8,3021.8
4.64,7,139.2,630.66
4.43,5,132.9,600.42
4.94,12,148.2,673.86
7,1,210,1078.5
1.64,1,49.2,254.98
6.74,10,202.2,1019.22
1.08,9,32.4,202.06
5.45,9,163.5,768.9
2.05,1,61.5,300.05
2.36,9,70.8,334.46
13.82,3,414.6,2756.6
9.41,2,282.3,1640.9
10.12,6,303.6,1813.1
1.69,11,50.7,260.09
2.1,3,63,305.6
7.83,4,234.9,1267.74
2.11,1,63.3,306.71
1.55,11,46.5,246.47
9.8,10,294,1734.5
12.51,4,375.3,2422.55
1.74,8,52.2,265.64
9.46,8,283.8,1652.9
4.32,8,129.6,584.58
9.01,11,270.3,1544.9
8.91,9,267.3,1520.9
1.91,1,57.3,284.51
8.44,6,253.2,1408.1
10.55,8,316.5,1922.75
9.33,3,279.9,1621.7
9.81,7,294.3,1736.9
3.1,7,93,416.6
7.76,2,232.8,1251.78
1.24,1,37.2,217.18
8.53,10,255.9,1429.7
9.31,7,279.3,1616.9
2.5,2,75,350
6.83,4,204.9,1039.74
3.44,4,103.2,457.86
14.82,5,444.6,3011.6
3.2,11,96,427.7
13.66,3,409.8,2715.8
9.39,8,281.7,1636.1
10.94,3,328.2,2022.2
16.39,3,491.7,3411.95
14.91,3,447.3,3034.55
10.43,11,312.9,1892.15
14.91,3,447.3,3034.55
1.98,5,59.4,292.28
4.08,3,122.4,550.02
5.54,12,166.2,786.18
3.19,5,95.7,426.59
3.62,1,108.6,483.78
1.51,11,45.3,242.69
10.09,2,302.7,1805.45
6.89,9,206.7,1053.42
7.1,3,213,1101.3
9.15,8,274.5,1578.5
10.41,11,312.3,1887.05
11.89,7,356.7,2264.45
2.81,1,84.3,384.41
5.48,6,164.4,774.66
3.46,10,103.8,460.74
8.51,8,255.3,1424.9
7.93,10,237.9,1290.54
4.11,4,123.3,554.34
6.69,12,200.7,1007.82
3.99,7,119.7,537.06
7.26,9,217.8,1137.78
8.51,9,255.3,1424.9
4.97,3,149.1,678.18
6.56,5,196.8,982.02
8.28,11,248.4,1370.34
11,2,330,2037.5
11.07,6,332.1,2055.35
8.46,7,253.8,1412.9
5.91,4,177.3,857.22
3.73,10,111.9,499.62
1.85,8,55.5,277.85
7.64,12,229.2,1224.42
9.65,9,289.5,1698.5
4.55,11,136.5,617.7
7.45,2,223.5,1181.1
2.28,9,68.4,325.58
3.68,10,110.4,492.42
13.94,4,418.2,2787.2
6.78,6,203.4,1028.34
11.38,5,341.4,2134.4
1.56,12,46.8,247.42
9.43,4,282.9,1645.7
3.37,3,101.1,447.78
7.51,8,225.3,1194.78
1.91,6,57.3,284.51
2.08,1,62.4,303.38
7.99,9,239.7,1304.22
4.88,9,146.4,665.22
2.62,4,78.6,363.32
12.54,5,376.2,2430.2
3,6,90,405.5
4.06,12,121.8,547.14
9.49,2,284.7,1660.1
6.58,8,197.4,985.86
2.72,3,81.6,374.42
10.04,5,301.2,1792.7
10.17,7,305.1,1825.85
7.04,3,211.2,1087.62
9.38,5,281.4,1633.7
10.35,2,310.5,1871.75
11.15,7,334.5,2075.75
12.13,11,363.9,2325.65
12.38,5,371.4,2389.4
1.96,10,58.8,290.06
8.85,2,265.5,1506.5
11.47,12,344.1,2157.35
2.21,7,66.3,317.81
7.94,2,238.2,1292.82
6.67,11,200.1,1003.26
5.01,1,150.3,684.42
9.3,7,279,1614.5
9.19,8,275.7,1588.1
10.07,1,302.1,1800.35
2.87,12,86.1,391.07
10.45,10,313.5,1897.25
9.03,5,270.9,1549.7
9.09,9,272.7,1564.1
4.42,9,132.6,598.98
13.69,12,410.7,2723.45
3.89,12,116.7,522.66
5.51,9,165.3,780.42
7.01,9,210.3,1080.78
6.28,11,188.4,928.26
9.68,2,290.4,1705.7
8.42,5,252.6,1403.3
4.91,6,147.3,669.54
5.61,4,168.3,799.62
5.34,7,160.2,747.78
9.64,8,289.2,1696.1
7.61,5,228.3,1217.58
10.28,9,308.4,1853.9
10.97,11,329.1,2029.85
3.36,8,100.8,446.34
3.55,2,106.5,473.7
11.86,7,355.8,2256.8
13.02,12,390.6,2552.6
11.33,10,339.9,2121.65
11.16,5,334.8,2078.3
2.64,7,79.2,365.54
5.27,1,158.1,734.34
1.17,1,35.1,210.56
5.71,7,171.3,818.82
8.3,4,249,1374.9
8.23,12,246.9,1358.94
11.52,5,345.6,2170.1
12.12,1,363.6,2323.1
9.61,11,288.3,1688.9
11.74,5,352.2,2226.2
6.25,12,187.5,922.5
2.8,5,84,383.3
7.33,4,219.9,1153.74
3.95,6,118.5,531.3
7.83,6,234.9,1267.74
7.02,9,210.6,1083.06
6.81,1,204.3,1035.18
6.1,10,183,893.7
10.13,2,303.9,1815.65
3.92,1,117.6,526.98
7.53,8,225.9,1199.34
6.32,8,189.6,935.94
7.48,6,224.4,1187.94
5.74,11,172.2,824.58
7.14,6,214.2,1110.42
6.37,6,191.1,945.54
5.79,11,173.7,834.18
6.73,11,201.9,1016.94
4.01,3,120.3,539.94
3.89,6,116.7,522.66
7.52,4,225.6,1197.06
15.65,5,469.5,3223.25
8.1,4,243,1329.3
5.58,3,167.4,793.86
9.05,1,271.5,1554.5
14.77,3,443.1,2998.85
12.33,3,369.9,2376.65
9.09,10,272.7,1564.1
10.2,8,306,1833.5
1.98,2,59.4,292.28
12.52,8,375.6,2425.1
5.79,4,173.7,834.18
2.31,2,69.3,328.91
5.77,3,173.1,830.34
4.92,1,147.6,670.98
5.82,10,174.6,839.94
9.5,8,285,1662.5
8.11,6,243.3,1331.58
16.13,5,483.9,3345.65
6.06,7,181.8,886.02
10.48,10,314.4,1904.9
12.07,3,362.1,2310.35
9.35,12,280.5,1626.5
11,4,330,2037.5
7.05,6,211.5,1089.9
9.14,7,274.2,1576.1
14.05,4,421.5,2815.25
9.46,8,283.8,1652.9
10.55,10,316.5,1922.75
4.27,5,128.1,577.38
5.66,2,169.8,809.22
3.64,1,109.2,486.66
6.3,1,189,932.1
3.08,4,92.4,414.38
3.21,11,96.3,428.81
7.35,6,220.5,1158.3
6.46,7,193.8,962.82
4.75,10,142.5,646.5
8.94,10,268.2,1528.1
8.86,7,265.8,1508.9
8.49,10,254.7,1420.1
9.88,1,296.4,1753.7
8.37,7,251.1,1391.3
6.98,9,209.4,1073.94
3.61,7,108.3,482.34
8.26,3,247.8,1365.78
10.6,11,318,1935.5
4.87,11,146.1,663.78
10.7,6,321,1961
3.67,12,110.1,490.98
5.14,6,154.2,709.38
5.07,7,152.1,695.94
16.32,5,489.6,3394.1
5,8,150,682.5
1.04,9,31.2,198.28
2.99,7,89.7,404.39
4.45,1,133.5,603.3
1.14,10,34.2,207.73
6.39,4,191.7,949.38
3.53,1,105.9,470.82
2.21,3,66.3,317.81
4.27,3,128.1,577.38
11.31,4,339.3,2116.55
7.76,2,232.8,1251.78
7.2,2,216,1124.1
3.66,10,109.8,489.54
9.77,7,293.1,1727.3
2.3,8,69,327.8
12.28,12,368.4,2363.9
7.97,12,239.1,1299.66
11.62,10,348.6,2195.6
15.19,3,455.7,3105.95
8.17,7,245.1,1345.26
5.69,2,170.7,814.98
15.11,5,453.3,3085.55
9.65,5,289.5,1698.5
10.71,7,321.3,1963.55
1.59,6,47.7,250.25
15.89,3,476.7,3284.45
8.92,6,267.6,1523.3
11.95,1,358.5,2279.75
9.34,7,280.2,1624.1
1.46,6,43.8,237.97
6.53,5,195.9,976.26
6.13,12,183.9,899.46
6.98,4,209.4,1073.94
3.51,6,105.3,467.94
8.54,11,256.2,1432.1
6.39,1,191.7,949.38
13.64,1,409.2,2710.7
4.32,6,129.6,584.58
14.55,5,436.5,2942.75
12.26,5,367.8,2358.8
1.92,6,57.6,285.62
5.83,2,174.9,841.86
4.61,9,138.3,626.34
10.64,10,319.2,1945.7
1.79,4,53.7,271.19
6.63,12,198.9,995.46
10.88,6,326.4,2006.9
5.36,12,160.8,751.62
16.25,3,487.5,3376.25
8.59,7,257.7,1444.1
9.02,2,270.6,1547.3
9.4,12,282,1638.5
2.59,9,77.7,359.99
6.26,1,187.8,924.42
4.72,10,141.6,642.18
1.51,2,45.3,242.69
7.13,11,213.9,1108.14
12.77,1,383.1,2488.85
5.58,1,167.4,793.86
9.82,8,294.6,1739.3
1.27,8,38.1,220.01
2.58,5,77.4,358.88
5.39,1,161.7,757.38
10.04,11,301.2,1792.7
6.77,7,203.1,1026.06
4.51,10,135.3,611.94
3.76,8,112.8,503.94
1.74,3,52.2,265.64
6.21,12,186.3,914.82
1.61,1,48.3,252.14
8.6,12,258,1446.5
5,12,150,682.5
1.08,10,32.4,202.06
3.24,12,97.2,432.14
3.08,3,92.4,414.38
9.73,6,291.9,1717.7
15.44,5,463.2,3169.7
5.08,5,152.4,697.86
11.84,7,355.2,2251.7
7.61,9,228.3,1217.58
9.79,2,293.7,1732.1
10.99,10,329.7,2034.95
1.67,4,50.1,257.87
11.79,2,353.7,2238.95
12.98,3,389.4,2542.4
1.81,5,54.3,273.41
4.57,12,137.1,620.58
7.95,5,238.5,1295.1
13.29,4,398.7,2621.45
8.46,9,253.8,1412.9
3.13,9,93.9,419.93
6.7,2,201,1010.1
12.51,10,375.3,2422.55
5.71,8,171.3,818.82
4.02,4,120.6,541.38
4,7,120,538.5
7.49,11,224.7,1190.22
10.21,7,306.3,1836.05
